,text
129,"I just finished an interview about what happed to my family and tragedy about #Uyghurs. You can never imagine how it feels talking about all those mistreatments that your parents and brothers facing while you talk. 
I missed them so much.#FreeNursFamily
 @amnesty @TribunalUyghur"
130,"https://reut.rs/34m2qla
@zlj517
 says #China is “dissatisfied” with
s decision to ban 
@Huawei
 & 
@ZTEpress
.
accurately recognized 
as a threat. CN is a 
 threat. Countries which respect human rights shouldn’t have relations with a state committing a #genocide against #Uyghurs"
131,"And interesting enough, #Russia (who caused partially the Syrian war) is now member of the #UNHRC. How unscrupulous & hypocritical can this organisation be? #China with 3 million #Uyghurs in concentration camps, is another example of a villain country taking part on the UNHRC."
132,#Pannun’s visit to #China for his #KhalistanFantasy is the joke of the year 2020. #China is known as an oppressor and has done nothing for the welfare of its minorities like #Uyghurs. I don’t know where #Pannun gets such lousy ideas from? #ShameOnPannun #PannunChainaPlanFails
133,If you actually care about #Uyghurs - spend four minutes to read this properly. https://worldaffairs.blog/2020/09/20/uyghur-xinjiang-explained-in-four-minutes/…
134,"The #Canadian parliament’s Subcomm on Int’l Human Rights concluded that the persecution of #Uyghurs & others constitutes #genocide. The Chairs urge 
@UN
 to address the #Chinese govt’s atrocities & for 
@StateDept
 to issue an atrocity crimes determination."
135,China warns Canada to halt ‘blatant interference’ as feud continues https://theguardian.com/world/2020/oct/22/china-canada-diplomatic-feud-uighurs-xinjiang… #Canada #China #Xinjiang #Uyghur #Uyghurs #Uighur #Genocide
136,"Great, that 
@TheEconomist
 made the torment of the #Uyghurs its cover story. I absolutely agree that liberal democracies have the obligation to ""call a gulag a gulag"". In this essay, I also present some lessons from history that can guide our actions:"
137,Help us put an end to forced Uyghur labor in China.  https://minaretfoundation.com/action-uyghur/ #UyghurGenocide #Uyghurs #UyghursAreFree #UighurGenocide
138,"The Better Cotton Initiative, which seeks to improve standards in the industry, has today announced it is withdrawing from the Uyghur region, one of the world centres of cotton production, due to concerns about human rights abuses & slave labour. #uyghur #uyghurs #uighur #uighurs"
139,"Delighted to be speaking at this event about the #Uyghurs alongside 
@lisanandy
 @SKinnock
 @786maq
 and my wonderful Uyghur friend, colleague and hero 
@MahmutRahima
 on 11 November at 2pm - join us and let's work together to stop #UyghurGenocide "
140,"#Canada’s parliament labeled China’s actions targeting #Uyghurs in the Region as “genocide,” calling on Ottawa to adopt the designation & sanction #Chinese government officials responsible for rights violations in the western region. 
@RadioFreeAsia"
141,"Kalash MQS, a rapper from #France released a new song titled “Hall,” which directly addresses the situation in the Uyghur region. 
@RFA_UyghurNews
 interviewed #KalashMQS about what prompted him to write about the #Uyghurs & how his song has been received."
142,"Rushan Abbas is a Uyghur-American activist. She is the founder and executive director of the Campaign for Uyghurs, and has been one of the most prominent voices
speaking out against the mistreatment of the #Uyghurs by the Chinese government."
143,"Jewish World Watch's Executive Director Serena Oberstein (
@SJOberstein
) will join a compelling panel to discuss the #Uyghurs, what we are doing to address the crisis and how you can help."
144,"""The persecution of the #Uyghurs is a crime against Humanity."" #SaveUyghurs An update on this week cover by 
@gadyepstein
. Thread..."
145,"Also, how come #Rashford is included in the #ManUtd squad & given a gong by the Queen for what is a Political initiative (ignored & voted down by Tories)... 
While #Özil is excluded from every #Arsenal squad for defending the #Uyghurs?!? 
SHAME on 
@Arsenal
. I used to like you."
146,"Report Exposes the Cultural Genocide of Uyghur Society in China https://visiontimes.com/2020/10/14/report-exposes-the-cultural-erasure-of-uyghurs-in-china.html… #China #HumanRights
 #Uyghurs #CrimesAgainstHumanity"
147,"The Subcommittee on International #HumanRights
 is calling on #Canada to take immediate action to address the #CCP regime’s escalating aggression against #Uyghurs and other Turkic #Muslims in #China, saying the situation amounts to #Genocide."
148,Because he spoke for #UYGHURS!
149," demonstrated leadership in recognizing the atrocities against #Uyghurs as genocide. Today’s decision sends a message to victims like my brother that the int’l community will fight together to #FreeEkpar & other detained, Imprisoned & enslaved victims in the #concentrationcamp"
